,word,previous_word,next_word,artist,song_type,song,aae_feature,time,social_group
27742,I,if , stay,joebonamassa,original,high_class_girl,ai monophthongization,2010s,nonAA_US
1361,alright ,,,freddieking,cover,big_legged_woman,ai monophthongization,1960s,AA
1771,found ,,,freddieking,original,im_tore_down,post-consonantal d,1960s,AA
1138,sunshine,no , when,freddieking,cover,aint_no_sunshine,ai monophthongization,1960s,AA
25892,another,,,joanneshawtaylor,original,just_another_word,post-vocalic r,2010s,nonAA_nonUS
13700,wine,, will,ericclapton,original,the_shape_youre_in,ai monophthongization,1980s,nonAA_nonUS
22459,feeling,m , like,kirkfletcher,original,two_steps_forward,ing ultimas,2010s,AA
8442,just,m , drifting,paulbutterfield,cover,driftin_and_driftin,post-consonantal t,1960s,nonAA_US
941,are ,,,bbking,original,please_love_me,post-vocalic r,1960s,AA
9146,and,up , down,stevemiller,cover,mercury_blues,post-consonantal d,1960s,nonAA_US
24335,I,now , gotta,danpatlansky,original,snake_oil_city,ai monophthongization,2010s,nonAA_nonUS
9804,I,and , want,albertcollins,cover,snatchin_it_back,ai monophthongization,1980s,AA
29184,your,blow , mind,philipsayce,original,bitter_monday,post-vocalic r,2010s,nonAA_US
12513,you're,, gonna,lutherallison,original,walking_papers,post-vocalic r,1980s,AA
12066,my,since , red,lutherallison,cover,little_red_rooster,ai monophthongization,1980s,AA
26995,told,had , me,allyvenable,original,any_fool_should_know,post-consonantal d,2010s,nonAA_US
16918,your,and , pretty,bonnieraitt,cover,green_lights,post-vocalic r,1980s,nonAA_US
3844,write,gonna , a,fleetwoodmac,cover,dust_my_broom,ai monophthongization,1960s,nonAA_nonUS
16131,or,walk , fly,thebluesband,cover,talk_to_me_baby,post-vocalic r,1980s,nonAA_nonUS
28898,don't,I , want,philipsayce,cover,blues_aint_nothing_but,post-consonantal t,2010s,nonAA_US
2518,before,, I,muddywaters,cover,baby_please_dont_go,post-vocalic r,1960s,AA
22321,tired,so , of,kirkfletcher,original,the_answer,post-consonantal d,2010s,AA
25053,your,kept , feelings,davyknowles,original,falling_apart,post-vocalic r,2010s,nonAA_nonUS
6764,post ,,,allmanbrothers,original,whipping_post,post-consonantal t,1960s,nonAA_US
27098,I,, should,allyvenable,original,broken_and_blue,ai monophthongization,2010s,nonAA_US
8620,yonder,over ,'s,paulbutterfield,cover,look_over_yonders_wall,post-vocalic r,1960s,nonAA_US
1303,dirt ,,,freddieking,cover,big_legged_woman,post-vocalic r,1960s,AA
13174,I,, called,ericclapton,cover,before_you_accuse_me,ai monophthongization,1980s,nonAA_nonUS
8504,learned,I , to,paulbutterfield,cover,driftin_and_driftin,post-consonantal d,1960s,nonAA_US
29607,her,let , down,samanthafish,cover,crow_jane,post-vocalic r,2010s,nonAA_US
8357,wasn't,it , for,paulbutterfield,cover,born_under_a_bad_sign,post-consonantal t,1960s,nonAA_US
23039,my,, mother,shemekiacopeland,original,ghetto_child,ai monophthongization,2010s,AA
23244,around,love , around,shemekiacopeland,original,salt_in_my_wounds,post-consonantal d,2010s,AA
20037,and,yea , when,stevierayvaughan,original,dirty_pool,post-consonantal d,1980s,nonAA_US
17461,won't,you , you,bonnieraitt,original,willya_wontcha,post-consonantal t,1980s,nonAA_US
19124,realize ,,,robbenford,cover,help_the_poor,ai monophthongization,1980s,nonAA_US
6631,I,sometimes , feel,allmanbrothers,original,whipping_post,ai monophthongization,1960s,nonAA_US
10911,you're,, good,johnleehooker,original,little_girl,zero copula,1980s,AA
18305,going,m , down,jjcale,cover,going_down,ing ultimas,1980s,nonAA_US
4722,my,what , little,rollingstones,original,the_spider_and_the_fly,ai monophthongization,1960s,nonAA_nonUS
4527,ain't,things , been,rollingstones,original,little_by_little,auxiliary verb,1960s,nonAA_nonUS
1027,mind ,,,bbking,original,you_done_lost_your_good_thing_now,post-consonantal d,1960s,AA
20833,never,d , stay,garyclarkjr,cover,if_you_love_me_like_you_say,post-vocalic r,2010s,AA
29324,I,what , know,philipsayce,original,morning_star,ai monophthongization,2010s,nonAA_US
16334,behind,door , the,thebluesband,cover,twenty_nine_ways,post-consonantal d,1980s,nonAA_nonUS
8508,can't,we , get,paulbutterfield,cover,driftin_and_driftin,post-consonantal t,1960s,nonAA_US
14266,darling,my , girl,jeffhealey,original,my_little_girl,ing ultimas,1980s,nonAA_nonUS
3686,darling,you , now,cream,original,sunshine_of_your_love,ing ultimas,1960s,nonAA_nonUS
17719,I,,'ve,fabulousthunderbirds,cover,wrap_it_up,ai monophthongization,1980s,nonAA_US
3330,I,glad ,'m,cream,cover,im_so_glad,ai monophthongization,1960s,nonAA_nonUS
25306,used,time , to,joanneshawtaylor,cover,cant_you_see_what_youre_doing_to_me,post-consonantal d,2010s,nonAA_nonUS
26625,satisfied ,,,tinylegstim,original,stepping_up,ai monophthongization,2010s,nonAA_nonUS
14609,I,mama , swear,johnmayall,cover,mama_talk_to_your_daughter,ai monophthongization,1980s,nonAA_nonUS
9280,remember,I , on,stevemiller,original,junior_saw_it_happen,post-vocalic r,1960s,nonAA_US
28809,packed,they , my,philipsayce,cover,backwater_blues,post-consonantal t,2010s,nonAA_US
9043,I,, won,stevemiller,cover,key_to_the_highway,ai monophthongization,1960s,nonAA_US
10646,serve,it , me,johnleehooker,cover,it_serves_me_right,third person singular,1980s,AA
14517,you're,now , gonna,jeffhealey,original,river_of_no_return,post-vocalic r,1980s,nonAA_nonUS
19061,further ,,,robbenford,cover,help_the_poor,post-vocalic r,1980s,nonAA_US
2074,ain't,, no,jimihendrix,cover,hey_joe,auxiliary verb,1960s,AA
4124,my,up , magic,fleetwoodmac,original,black_magic_woman,ai monophthongization,1960s,nonAA_nonUS
14166,cashing,start , in,jeffhealey,original,dont_let_your_chance_go_by,ing ultimas,1980s,nonAA_nonUS
28253,I,fool , guess,mattschofield,cover,woman_across_the_river,ai monophthongization,2010s,nonAA_US
15818,playing,m , no,rorygallagher,original,keychain,ing ultimas,1980s,nonAA_nonUS
25352,messing,re , around,joanneshawtaylor,cover,stop_messin_around,ing ultimas,2010s,nonAA_nonUS
